strain	loc
hCoV-19_Poland_PL-P1527|2021-02-11	international
hCoV-19_Poland_0346WSN2021_wsseol|2021-04-09	international
hCoV-19_Poland_NIPH-NIH_ECDC-433|2021-02-04	international
hCoV-19_Poland_NIPH-NIH-40|2021-01-13	international
hCoV-19_Portugal_PT3337|2021-02-10	international
hCoV-19_Portugal_PT5254|2021-03-03	international
hCoV-19_Portugal_PT3831|2021-02-13	international
hCoV-19_Portugal_PT4854|2021-03-08	international
hCoV-19_Portugal_PT4048|2021-01-29	international
hCoV-19_Portugal_PT5263|2021-02-26	international
hCoV-19_Portugal_PT4751|2021-02-26	international
hCoV-19_Portugal_PT5261|2021-02-18	international
hCoV-19_Portugal_PT3181|2021-02-14	international
hCoV-19_Portugal_PT2626|2021-01-04	international
hCoV-19_Portugal_IGC_g350|2020-12-28	international
hCoV-19_Portugal_PT2102|2020-12-18	international
hCoV-19_Portugal_PT5088|2021-02-22	international
hCoV-19_Romania_Galati_421273|2021-02-09	international
hCoV-19_Romania_B-1689|2021-01-21	international
hCoV-19_Romania_Cluj_430359|2021-02-23	international
hCoV-19_Romania_651GLLAc|2021-03-15	international
hCoV-19_Romania_Sibiu_432385|2021-03-02	international
hCoV-19_Romania_Bucuresti_436109|2021-03-12	international
hCoV-19_Romania_Bihor_435947|2021-03-12	international
hCoV-19_Romania_Bucuresti_432676|2021-03-02	international
hCoV-19_Romania_B-2395|2021-01-28	international
hCoV-19_Romania_B-2274|2021-01-28	international
hCoV-19_Romania_Bucuresti417727|2021-01-28	international
hCoV-19_Romania_B-3950|2021-02-22	international
hCoV-19_Romania_Bucuresti_433010|2021-03-02	international
hCoV-19_Romania_B-3207|2021-02-11	international
hCoV-19_Romania_B-3989|2021-02-22	international
hCoV-19_Romania_Covasna_430343|2021-02-23	international
hCoV-19_Romania_Covasna-419480|2021-02-03	international
hCoV-19_Romania_Covasna_423970|2021-02-11	international
hCoV-19_Romania_Bucuresti_419520|2021-02-04	international
hCoV-19_Romania_MS-4187|2021-02-22	international
hCoV-19_Romania_Bucuresti_424679|2021-02-13	international
hCoV-19_Slovakia_UVZ_PL7_A8|2021-03-18	international
hCoV-19_Slovakia_UVZ_PL9_C2_7823|2021-03-26	international
hCoV-19_Slovakia_UVZ_PL12_A11_8360|2021-04-06	international
hCoV-19_Slovakia_UVZ_PL7_C8|2021-03-19	international
hCoV-19_Slovakia_UVZ_PL9_B4_7838|2021-03-29	international
hCoV-19_Slovakia_UKBA-2685|2021-03-29	international
hCoV-19_Slovakia_CeMM4332|2021-02-03	international
hCoV-19_Slovakia_UKBA-507|2020-12-28	international
hCoV-19_Slovakia_UKBA-1861|2021-02-26	international
hCoV-19_Slovakia_CeMM4336|2021-01-29	international
hCoV-19_Slovakia_UKBA-1007|2020-12-22	international
hCoV-19_Slovenia_08-057899-MB|2021-03-03	international
hCoV-19_Slovenia_98686|2021-02-23	international
hCoV-19_Slovenia_90-013515-NM|2021-03-17	international
hCoV-19_Slovenia_21-7129|2021-03-29	international
hCoV-19_Spain_CT-HUVH-V59253|2021-03-22	international
hCoV-19_Spain_CT-IBV-98020202|2021-01-31	international
hCoV-19_Spain_CT-HUGTiPM007CJ9F7|2021-03-10	international
hCoV-19_Spain_CT-HUVH-73630|2021-02-20	international
hCoV-19_Spain_CT-HUB00268|2021-03-02	international
hCoV-19_Spain_CT-HUGTiPR008ZT1C2|2021-03-02	international
hCoV-19_Spain_MD-11679763|2021-01-13	international
hCoV-19_Spain_RI-IBV-99025647|2021-03-09	international
hCoV-19_Spain_MD-HGUGM-21128994|2021-03-17	international
hCoV-19_Spain_CT-HUGTiPR009AG4G1|2021-03-16	international
hCoV-19_Spain_IB-IBV-99012813|2021-01-05	international
hCoV-19_Spain_MC-ISCIII-210562|2021-01-25	international
hCoV-19_Spain_NC-CHN-01000814|2021-03-14	international
hCoV-19_Spain_AS-232173939|2021-02-07	international
hCoV-19_Spain_MD-IBV-99023246|2021-03-05	international
hCoV-19_Spain_MC-ISCIII-212329|2021-03-11	international
hCoV-19_Spain_AN-IBV-99023162|2021-02-03	international
hCoV-19_Spain_NC-CHN-01000514|2021-02-28	international
hCoV-19_Spain_EX-ISCIII-210887|2021-02-01	international
hCoV-19_Spain_NC-IBV-98018013|2021-01-27	international
hCoV-19_Spain_CN-ISCIII-212152|2021-03-01	international
hCoV-19_Spain_CT-HUVH-E02183|2021-03-31	international
hCoV-19_Spain_NC-IBV-98018403|2021-02-05	international
hCoV-19_Spain_MD-HGUGM-21153873|2021-04-05	international
hCoV-19_Spain_CT-HUVH-E25553|2021-04-07	international
hCoV-19_Spain_CT-IrsiCaixaM001RQ1A9|2021-01-28	international
hCoV-19_Spain_MD-HGUGM-21153598|2021-04-04	international
hCoV-19_Spain_AR-ISCIII-210775|2021-01-26	international
hCoV-19_Spain_CT-IrsiCaixaM001RQ1E2|2021-01-23	international
hCoV-19_Spain_MD-HGUGM-21020472|2021-01-15	international
hCoV-19_Spain_CT-HUGTiPR005TQ1B1|2021-02-09	international
hCoV-19_Spain_MD-IBV-99013645|2021-01-07	international
hCoV-19_Spain_CT-HUGTiPM003KH2A10|2021-02-07	international
hCoV-19_Spain_MD-IBV-99020792|2021-01-18	international
hCoV-19_Spain_MD-HGUGM-21007245|2021-01-05	international
hCoV-19_Spain_CB-IBV-98013971|2021-01-13	international
hCoV-19_Spain_MD-HGUGM-20517541|2020-12-29	international
hCoV-19_Spain_CM-ISCIII-2018109|2020-12-21	international
hCoV-19_Spain_MD-IBV-99012855|2020-12-29	international
hCoV-19_Spain_VC-IBV-98012586|2021-01-02	international
hCoV-19_Spain_MD-11664990|2021-01-02	international
hCoV-19_Spain_AN-HUSC_1791582|2021-01-01	international
hCoV-19_Spain_VC-IBV-98012609|2020-11-08	international
hCoV-19_Spain_MD-HGUGM-20513082|2020-12-24	international
hCoV-19_Spain_VC-IBV-98010550|2020-12-21	international
hCoV-19_Bonaire_BQ-RIVM-25828|2021-04-05	international
hCoV-19_USA_CA-LACPHL-AF00668|2021-03-02	domestic
hCoV-19_USA_CA-CDC-FG-021089|2021-04-12	domestic
hCoV-19_USA_CA-LACPHL-AF00681|2021-03-02	domestic
hCoV-19_USA_CA-CDC-FG-010307|2021-03-17	domestic
hCoV-19_USA_CA-IGI-2897|2021-01-21	domestic
hCoV-19_USA_CA-CDC-QDX23087766|2021-03-18	domestic
hCoV-19_USA_CA-CDC-FG-010862|2021-03-19	domestic
hCoV-19_USA_CA-CDC-STM-000041125|2021-03-22	domestic
hCoV-19_USA_CA-CDC-ASC210016876|2021-03-22	domestic
hCoV-19_USA_CA-CDC-FG-012447|2021-03-17	domestic
hCoV-19_USA_CA-CDC-STM-000043371|2021-03-26	domestic
hCoV-19_USA_CA-CDC-QDX23359669|2021-03-22	domestic
hCoV-19_USA_CA-CDC-FG-018316|2021-04-06	domestic
hCoV-19_USA_CA-LACPHL-AF00830|2021-03-25	domestic
hCoV-19_USA_CA-CDC-FG-011122|2021-03-20	domestic
hCoV-19_USA_CA-CDC-FG-021256|2021-04-09	domestic
hCoV-19_USA_CA-CDC-ASC210014368|2021-03-20	domestic
hCoV-19_USA_CA-CDC-FG-020875|2021-04-11	domestic
hCoV-19_USA_CA-CDC-FG-018383|2021-04-06	domestic
hCoV-19_USA_CA-CDC-FG-006420|2021-03-02	domestic
hCoV-19_USA_CA-CDC-STM-000043275|2021-03-25	domestic
hCoV-19_USA_CA-CDC-LC0035158|2021-03-23	domestic
hCoV-19_USA_CA-RD584-CV0096|2021-02-07	domestic
hCoV-19_USA_CA-LACPHL-AF00709|2021-03-10	domestic
hCoV-19_USA_CA-CDC-FG-020144|2021-04-06	domestic
hCoV-19_USA_CA-CDC-STM-149|2020-12-31	domestic
hCoV-19_USA_CA-CDC-FG-019389|2021-04-02	domestic
hCoV-19_USA_CA-CDC-LC0033953|2021-03-17	domestic
hCoV-19_USA_CA-CDC-FG-021399|2021-04-13	domestic
hCoV-19_USA_CA-CDC-FG-018750|2021-03-30	domestic
hCoV-19_USA_CA-CDC-STM-000042125|2021-03-23	domestic
hCoV-19_USA_CA-LACPHL-AF00575|2021-02-19	domestic
hCoV-19_USA_CA-ALSR-8296|2021-03-17	domestic
hCoV-19_USA_CA-CDC-2-3953970|2021-02-01	domestic
hCoV-19_USA_CA-CDC-FG-019294|2021-04-01	domestic
hCoV-19_USA_CA-CDC-STM-000012413|2021-02-10	domestic
hCoV-19_USA_CA-SEARCH-8208|2021-02-18	domestic
hCoV-19_USA_CA-LACPHL-AF00905|2021-04-02	domestic
hCoV-19_USA_CA-RD-RA01736|2021-01-28	domestic
hCoV-19_USA_CA-CDC-FG-020912|2021-04-08	domestic
hCoV-19_USA_CA-CDC-QDX23359662|2021-03-22	domestic
hCoV-19_USA_CA-CDC-FG-012799|2021-03-22	domestic
hCoV-19_USA_CA-CDC-FG-014579|2021-03-08	domestic
hCoV-19_USA_CA-CDC-STM-000040787|2021-03-16	domestic
hCoV-19_USA_CA-CDC-STM-000045881|2021-03-31	domestic
hCoV-19_USA_CO-CDC-FG-016551|2021-03-22	domestic
hCoV-19_USA_CO-CDC-ASC210020520|2021-03-25	domestic
hCoV-19_USA_CO-CDPHE-2100449095|2021-02-17	domestic
hCoV-19_USA_CO-CDPHE-2100389488|2021-02-09	domestic
hCoV-19_Cambodia_298905|2021-03-08	international
hCoV-19_Canada_ON-PHL-21-07235-v2|2021-03-15	international
hCoV-19_Canada_ON-PHL-21-00972|2021-01-15	international
hCoV-19_Canada_ON-PHL-21-03335|2021-02-15	international
hCoV-19_Canada_ON-PHL-21-03832|2021-02-15	international
hCoV-19_Canada_ON-PHL-21-03743|2021-02-15	international
hCoV-19_Canada_ON-PHL-21-07005|2021-03-15	international
hCoV-19_Canada_ON-PHL-21-07029|2021-02-15	international
hCoV-19_Canada_ON-PHL-21-07543|2021-03-15	international
hCoV-19_Canada_ON-PHL-21-07538|2021-03-15	international
hCoV-19_Canada_ON-S2291|2021-01-19	international
hCoV-19_Canada_ON-PHL-21-06940|2021-03-15	international
hCoV-19_Canada_ON-PHL-21-03358|2021-02-15	international
hCoV-19_Canada_ON-PHL-21-07471|2021-03-15	international
hCoV-19_Canada_MB-NML-20869|2021-03-11	international
hCoV-19_Curacao_CW-RIVM-19574|2021-03-15	international
hCoV-19_USA_DC-DFS-PHL-0346|2021-03-22	domestic
hCoV-19_USA_DE-DHSS-B1074790|2021-03-22	domestic
hCoV-19_USA_DE-CDC-ASC210042327|2021-04-02	domestic
hCoV-19_USA_DE-DHSS-FLW00689861A|2021-01-19	domestic
hCoV-19_USA_FL-CDC-FG-011303|2021-03-06	domestic
hCoV-19_USA_FL-CDC-QDX23396322|2021-03-27	domestic
hCoV-19_USA_FL-CDC-STM-000047639|2021-04-01	domestic
hCoV-19_USA_FL-CDC-STM-000035915|2021-03-14	domestic
hCoV-19_USA_FL-CDC-LC0015871|2021-02-10	domestic
hCoV-19_USA_FL-CDC-STM-000029442|2021-03-04	domestic
hCoV-19_USA_FL-CDC-STM-000034034|2021-03-12	domestic
hCoV-19_USA_FL-CDC-ASC210008083|2021-03-16	domestic
hCoV-19_USA_FL-CDC-STM-000023963|2021-02-23	domestic
hCoV-19_USA_FL-CDC-STM-000030176|2021-03-05	domestic
hCoV-19_USA_FL-CDC-ASC210053902|2021-04-09	domestic
hCoV-19_USA_FL-CDC-QDX23572397|2021-04-04	domestic
hCoV-19_USA_FL-CDC-22528484|2021-03-01	domestic
hCoV-19_USA_FL-CDC-ASC210053914|2021-04-09	domestic
hCoV-19_USA_FL-CDC-22282915|2021-02-20	domestic
hCoV-19_USA_FL-CDC-STM-0000014-H10|2021-01-12	domestic
hCoV-19_USA_FL-CDC-STM-000020045|2021-02-20	domestic
hCoV-19_USA_FL-BPHL-0937|2021-02-16	domestic
hCoV-19_USA_FL-CDC-STM-000013624|2021-02-12	domestic
hCoV-19_USA_FL-CDC-STM-000008668|2021-02-01	domestic
hCoV-19_USA_FL-CDC-STM-000005071|2021-01-23	domestic
hCoV-19_USA_FL-CDC-STM-085|2020-12-28	domestic
hCoV-19_USA_FL-CDC-STM-000008006|2021-01-07	domestic
hCoV-19_USA_FL-CDC-STM-049|2020-12-26	domestic
hCoV-19_USA_FL-CDC-STM-P012|2020-12-19	domestic
hCoV-19_USA_FL-CDC-STM-A015|2021-01-02	domestic
hCoV-19_USA_GA-CDC-STM-000009229|2021-02-04	domestic
hCoV-19_USA_GA-CDC-STM-000041682|2021-03-21	domestic
hCoV-19_USA_GA-CDC-STM-000024176|2021-02-24	domestic
hCoV-19_USA_GA-CDC-STM-000011728|2021-02-09	domestic
hCoV-19_USA_GA-CDC-STM-000021276|2021-02-21	domestic
hCoV-19_USA_GA-CDC-ASC210046101|2021-04-05	domestic
hCoV-19_USA_GA-CDC-LC0041240|2021-04-12	domestic
hCoV-19_USA_GA-CDC-STM-000008086|2021-01-08	domestic
hCoV-19_USA_GA-CDC-STM-A100140|2021-01-04	domestic
hCoV-19_Gambia_20084|2021-03-10	international
hCoV-19_Ghana_WACCBIP-GS110|2021-01-06	international
hCoV-19_Ghana_WACCBIP-GS192|2021-01-07	international
hCoV-19_Ghana_WACCBIP-GS317|2021-01-13	international
hCoV-19_Ghana_WACCBIP-GS315|2021-01-13	international
hCoV-19_Ghana_WACCBIP-GS75|2021-01-06	international
hCoV-19_USA_HI-H211411|2021-03-05	domestic
hCoV-19_USA_HI-CDC-ASC210046088|2021-04-05	domestic
hCoV-19_USA_HI-H211577|2021-03-25	domestic
hCoV-19_USA_IA-CDC-ASC210046081|2021-04-04	domestic
hCoV-19_USA_IA-CDC-STM-000023171|2021-02-24	domestic
hCoV-19_USA_IA-GMF-B00410|2021-04-12	domestic
hCoV-19_USA_IA-CDC-ASC210015032|2021-03-22	domestic
hCoV-19_USA_IA-CDC-ASC210026127|2021-03-28	domestic
hCoV-19_USA_IA-SHL-1565149|2021-01-21	domestic
hCoV-19_USA_IA-21WGS055|2021-03-09	domestic
hCoV-19_USA_ID-CDC-2-4173952|2021-03-11	domestic
hCoV-19_USA_ID-CDC-ASC210005587|2021-03-14	domestic
hCoV-19_USA_IL-NM-7612|2021-04-08	domestic
hCoV-19_USA_PA-CDC-PZUR-7741|2021-01-05	domestic
hCoV-19_USA_IL-S21WGS290|2021-03-25	domestic
hCoV-19_USA_IL-CDC-ASC210019844|2021-03-25	domestic
hCoV-19_USA_IL-Yale-1253|2021-01-27	domestic
hCoV-19_USA_IL-CDC-QDX22753457|2021-03-07	domestic
hCoV-19_USA_IL-CDC-QDX23131595|2021-03-18	domestic
hCoV-19_USA_IL-Yale-S140|2021-01-14	domestic
hCoV-19_USA_IL-Yale-1525|2021-02-03	domestic
hCoV-19_USA_IL-S21WGS665|2021-04-12	domestic
hCoV-19_USA_IL-CDC-22549607|2021-02-26	domestic
hCoV-19_USA_IL-Yale-S247|2021-01-25	domestic
hCoV-19_USA_IL-CDC-9MH9-8838|2021-01-16	domestic
hCoV-19_USA_IL-Yale-1576|2021-02-11	domestic
hCoV-19_USA_IL-Yale-1270|2021-02-01	domestic
hCoV-19_USA_IL-CDC-22028661|2021-02-11	domestic
hCoV-19_USA_IN-CDC-STM-000048326|2021-04-01	domestic
hCoV-19_USA_IN-CDC-STM-000041959|2021-03-23	domestic
hCoV-19_USA_IN-CDC-LC0027412|2021-03-09	domestic
hCoV-19_USA_IN-PU-LH000145107|2021-01-28	domestic
hCoV-19_USA_IN-INSPHL-00168|2021-02-25	domestic
hCoV-19_USA_IN-CDC-STM-000014722|2021-02-13	domestic
hCoV-19_USA_IN-CDC-LC0023007|2021-03-02	domestic
hCoV-19_USA_IN-INSPHL-00165|2021-02-24	domestic
hCoV-19_USA_IN-CDC-22054922|2021-02-15	domestic
hCoV-19_Israel_1998083589|2021-02-14	international
hCoV-19_Israel_CVL-2677|2021-01-04	international
hCoV-19_Israel_CVL-5141|2021-01-07	international
hCoV-19_Israel_CVL-25-ngs|2020-12-24	international
hCoV-19_Japan_PG-25449|2021-02-02	international
hCoV-19_Japan_PG-29077|2021-02-15	international
hCoV-19_Japan_PG-23943|2021-02-08	international
hCoV-19_Japan_PG-25058|2021-02-18	international
hCoV-19_Japan_IC-0770|2021-01-27	international
hCoV-19_Japan_PG-27525|2021-02-21	international
hCoV-19_Japan_PG-16445|2021-01-14	international
hCoV-19_Japan_PG-25443|2021-02-20	international
hCoV-19_USA_KS-KHEL-0628|2021-03-19	domestic
hCoV-19_USA_KS-KHEL-0959|2021-04-06	domestic
hCoV-19_USA_KS-KHEL-0587|2021-03-16	domestic
hCoV-19_USA_KS-KHEL-0678|2021-03-04	domestic
hCoV-19_USA_KS-USAFSAM-S1289|2021-03-02	domestic
hCoV-19_USA_KS-KHEL-0817|2021-03-24	domestic
hCoV-19_USA_KY-KSPHL-100316|2021-03-04	domestic
hCoV-19_USA_KY-KSPHL-100319|2021-02-25	domestic
hCoV-19_Kenya_C79725|2021-01-14	international
hCoV-19_USA_LA-CDC-8628|2021-01-07	domestic
hCoV-19_USA_LA-CDC-2-3981809|2021-02-11	domestic
hCoV-19_USA_LA-CDC-LC0044200|2021-04-08	domestic
hCoV-19_USA_LA-CDC-QDX23654323|2021-04-05	domestic
hCoV-19_USA_LA-CDC-STM-000001606|2021-01-11	domestic
hCoV-19_USA_MA-CDC-LC0037902|2021-03-31	domestic
hCoV-19_USA_MA-MASPHL-02516|2021-03-17	domestic
hCoV-19_USA_MD-HP04476|2021-04-14	domestic
hCoV-19_USA_MD-IGS-012108406727A|2021-03-25	domestic
hCoV-19_USA_MD-CDC-LC0043107|2021-04-07	domestic
hCoV-19_USA_MD-HP04465|2021-04-14	domestic
hCoV-19_USA_MD-HP04206|2021-04-09	domestic
hCoV-19_USA_MD-MDH-1362|2021-02-24	domestic
hCoV-19_USA_MD-MDH-1334|2021-02-28	domestic
hCoV-19_USA_ME-CDC-QDX23088477|2021-03-17	domestic
hCoV-19_USA_MI-UM-10039158419|2021-04-07	domestic
hCoV-19_USA_MI-CDC-ASC210045885|2021-04-05	domestic
hCoV-19_USA_MI-CDC-ASC210012792|2021-03-19	domestic
hCoV-19_USA_MI-MDHHS-SC25207|2021-03-10	domestic
hCoV-19_USA_MI-MDHHS-SC23537|2021-01-27	domestic
hCoV-19_USA_MI-MDHHS-SC24077|2021-02-14	domestic
hCoV-19_USA_MI-UM-10038050090|2021-01-28	domestic
hCoV-19_USA_MI-MDHHS-SC24452|2021-02-24	domestic
hCoV-19_USA_MI-UM-10038012296|2021-01-26	domestic
hCoV-19_USA_MI-CDC-2-3829903|2021-01-08	domestic
hCoV-19_USA_MI-CDC-LC0041328|2021-04-12	domestic
hCoV-19_USA_MN-CDC-STM-000042089|2021-03-21	domestic
hCoV-19_USA_MN-MDH-4195|2021-02-25	domestic
hCoV-19_USA_MN-CDC-LC0043838|2021-04-06	domestic
hCoV-19_USA_MN-MDH-4176|2021-03-02	domestic
hCoV-19_USA_MN-CDC-2-4012882|2021-03-01	domestic
hCoV-19_USA_MO-CDC-LC0038186|2021-03-29	domestic
hCoV-19_USA_MO-CDC-QAGW-0492|2021-02-26	domestic
hCoV-19_USA_MO-CDC-ASC210011953|2021-03-19	domestic
hCoV-19_USA_MO-MSPHL-000579|2021-02-25	domestic
hCoV-19_USA_MO-MSPHL-000596|2021-03-10	domestic
hCoV-19_USA_MO-CDC-QAGR-0491|2021-02-26	domestic
hCoV-19_USA_MO-CDC-STM-000021163|2021-02-21	domestic
hCoV-19_USA_MO-CDC-ASC210056602|2021-04-12	domestic
hCoV-19_USA_MS-UMMC-M448A12-504457|2021-03-12	domestic
hCoV-19_USA_NC-CDC-STM-000048329|2021-04-01	domestic
hCoV-19_USA_NC-CDC-LC0044354|2021-04-09	domestic
hCoV-19_USA_NC-CDC-ASC210018917|2021-03-25	domestic
hCoV-19_USA_NC-CDC-STM-000027272|2021-03-01	domestic
hCoV-19_USA_NC-CDC-ASC210004578|2021-03-12	domestic
hCoV-19_USA_NC-CDC-STM-000031268|2021-03-06	domestic
hCoV-19_USA_NE-CDC-ASC210045762|2021-04-04	domestic
hCoV-19_USA_NE-CDC-ASC210019973|2021-03-25	domestic
hCoV-19_USA_NE-CDC-ASC210009967|2021-03-18	domestic
hCoV-19_USA_NH-CDC-LC0037183|2021-03-23	domestic
hCoV-19_USA_NM-NMDOH-2021078149|2021-03-11	domestic
hCoV-19_USA_NM-CDC-LC0039140|2021-04-02	domestic
hCoV-19_USA_NM-DOH-2021086811|2021-03-23	domestic
hCoV-19_USA_NV-CDC-LC0024516|2021-02-24	domestic
hCoV-19_USA_NV-CDC-22524566|2021-03-01	domestic
hCoV-19_USA_NV-CDC-LC0019467|2021-02-19	domestic
hCoV-19_USA_NV-CDC-21641169|2021-02-01	domestic
hCoV-19_USA_NV-CDC-FG-010954|2021-03-16	domestic
hCoV-19_USA_NV-CDC-LC0039183|2021-03-27	domestic
hCoV-19_USA_NV-CDC-22164767|2021-02-18	domestic
hCoV-19_New-Zealand_21MV0097|2021-02-22	international
hCoV-19_Nigeria_BCVL-18292|2021-01-02	international
hCoV-19_Nigeria_CV644|2021-01-04	international
hCoV-19_Nigeria_CV783|2021-01-15	international
hCoV-19_Nigeria_BCVL-19098|2021-01-12	international
hCoV-19_Nigeria_CV870|2021-01-27	international
hCoV-19_Nigeria_BCVL-19205|2021-01-12	international
hCoV-19_Nigeria_CV764|2021-01-14	international
hCoV-19_Nigeria_BCVL-18302|2021-01-07	international
hCoV-19_Nigeria_BCVL-18543|2021-01-07	international
hCoV-19_USA_OH-CDC-QDX23135351|2021-03-18	domestic
hCoV-19_USA_OH-CDC-QDX23678406|2021-04-06	domestic
hCoV-19_USA_OH-CDC-QDX22905144|2021-03-11	domestic
hCoV-19_USA_OH-CDC-LC0042807|2021-04-06	domestic
hCoV-19_USA_OH-CDC-LC0033955|2021-03-17	domestic
hCoV-19_USA_OH-CDC-QDX23613986|2021-04-03	domestic
hCoV-19_USA_OH-CDC-LC0044187|2021-04-04	domestic
hCoV-19_USA_OH-CDC-22207609|2021-02-18	domestic
hCoV-19_USA_OH-CDC-LC0027587|2021-03-09	domestic
hCoV-19_USA_OH-CDC-22029566|2021-02-10	domestic
hCoV-19_USA_OH-UHTL-147|2021-03-03	domestic
hCoV-19_USA_OH-UHTL-69|2021-02-21	domestic
hCoV-19_USA_OH-CDC-22019238|2021-02-13	domestic
hCoV-19_USA_OK-CDC-LC0039859|2021-03-30	domestic
hCoV-19_USA_OK-CDC-LC0039029|2021-03-30	domestic
hCoV-19_USA_OK-CDC-STM-000037374|2021-03-16	domestic
hCoV-19_USA_OK-CDC-LC0043826|2021-04-07	domestic
hCoV-19_USA_OK-CDC-LC0035393|2021-03-26	domestic
hCoV-19_USA_OK-CDC-LC0035281|2021-03-26	domestic
hCoV-19_USA_OR-OHSU-10980|2021-03-31	domestic
hCoV-19_USA_OR-CDC-LC0026559|2021-03-04	domestic
hCoV-19_USA_PA-CDC-STM-000044088|2021-03-24	domestic
hCoV-19_USA_PA-CDC-STM-000040123|2021-03-19	domestic
hCoV-19_USA_PA-CDC-STM-000046783|2021-03-29	domestic
hCoV-19_USA_PA-CDC-LC0043834|2021-04-01	domestic
hCoV-19_USA_PA-CDC-LC0033145|2021-03-17	domestic
hCoV-19_USA_PA-CDC-STM-000040936|2021-03-20	domestic
hCoV-19_USA_PA-CDC-LC0022609|2021-02-26	domestic
hCoV-19_USA_PA-CDC-LC0028026|2021-03-13	domestic
hCoV-19_USA_PA-CDC-STM-000029504|2021-03-04	domestic
hCoV-19_USA_PA-CDC-STM-000009844|2021-02-05	domestic
hCoV-19_USA_PA-CDC-LC0043089|2021-04-07	domestic
hCoV-19_USA_PA-VSP0871|2021-02-17	domestic
hCoV-19_USA_PA-CDC-QDX23613831|2021-04-04	domestic
hCoV-19_USA_PA-CDC-LC0017703|2021-02-17	domestic
hCoV-19_USA_PA-CDC-STM-000024858|2021-02-25	domestic
hCoV-19_USA_PA-CDC-STM-000019621|2021-02-18	domestic
hCoV-19_USA_PA-Yale-1836|2021-02-19	domestic
hCoV-19_USA_PA-CDC-STM-000005808|2021-01-27	domestic
hCoV-19_USA_PA-CDC-Q2G3-8413|2021-01-31	domestic
hCoV-19_USA_PA-CDC-STM-000012344|2021-02-10	domestic
hCoV-19_USA_PA-CDC-Q2FT-8411|2021-01-27	domestic
hCoV-19_USA_PR-CDC-FG-019888|2021-03-31	domestic
hCoV-19_USA_RI-CDC-ASC210020524|2021-03-25	domestic
hCoV-19_Reunion_PIMIT_04130|2021-03-16	international
hCoV-19_USA_SC-CDC-STM-000039985|2021-03-19	domestic
hCoV-19_USA_SC-CDC-ASC210016046|2021-03-20	domestic
hCoV-19_USA_SC-CDC-LC0035565|2021-03-21	domestic
hCoV-19_USA_SC-DHEC-0428|2021-02-12	domestic
hCoV-19_USA_SC-CDC-STM-000027978|2021-03-03	domestic
hCoV-19_Singapore_62|2021-01-15	international
hCoV-19_South-Korea_KDCA1747|2021-02-03	international
hCoV-19_Sri-Lanka_QA31|2021-01-21	international
hCoV-19_Sri-Lanka_NR9|2021-03-12	international
hCoV-19_Sri-Lanka_CDRF36|2021-03-09	international
hCoV-19_Sri-Lanka_CA85022|2021-01-23	international
hCoV-19_Sri-Lanka_CDRQ4|2021-03-10	international
hCoV-19_Sri-Lanka_NR22|2021-03-07	international
hCoV-19_USA_TN-CDC-ASC210019532|2021-03-25	domestic
hCoV-19_USA_TN-CDC-ASC210000726|2021-03-04	domestic
hCoV-19_USA_TN-CDC-2-3981845|2021-02-24	domestic
hCoV-19_USA_TN-CDC-LC0025253|2021-03-09	domestic
hCoV-19_USA_TN-CDC-LC0023515|2021-03-05	domestic
hCoV-19_USA_TN-CDC-LC0043127|2021-04-06	domestic
hCoV-19_USA_TN-Yale-1929|2021-02-26	domestic
hCoV-19_USA_TN-CDC-8637|2021-01-05	domestic
hCoV-19_USA_TN-CDC-ASC210056595|2021-04-12	domestic
hCoV-19_USA_TX-CDC-22489076|2021-02-25	domestic
hCoV-19_USA_TX-CDC-STM-000045927|2021-03-30	domestic
hCoV-19_USA_TX-DSHS-4225|2021-03-05	domestic
hCoV-19_USA_TX-CDC-22291951|2021-02-21	domestic
hCoV-19_USA_TX-CDC-FG-016499|2021-03-22	domestic
hCoV-19_USA_TX-HMH-MCoV-27348|2021-02-19	domestic
hCoV-19_USA_TX-CDC-ASC210027359|2021-03-30	domestic
hCoV-19_USA_TX-CDC-QDX22763000|2021-03-08	domestic
hCoV-19_USA_TX-CDC-IBX427723681268|2021-03-23	domestic
hCoV-19_USA_TX-HMH-MCoV-30999|2021-03-02	domestic
hCoV-19_USA_TX-CDC-22520962|2021-02-28	domestic
hCoV-19_USA_TX-CDC-ASC210045791|2021-04-05	domestic
hCoV-19_USA_TX-GHRC-HD00185334|2021-03-02	domestic
hCoV-19_USA_TX-HMH-MCoV-30842|2021-03-05	domestic
hCoV-19_USA_TX-CDC-QDX23654656|2021-04-05	domestic
hCoV-19_USA_TX-CDC-STM-000025459|2021-02-26	domestic
hCoV-19_USA_TX-CDC-22491025|2021-02-25	domestic
hCoV-19_USA_TX-HMH-MCoV-26847|2021-02-25	domestic
hCoV-19_USA_TX-DSHS-4055|2021-02-01	domestic
hCoV-19_USA_TX-CDC-22527533|2021-03-02	domestic
hCoV-19_USA_TX-HHD-4543797|2021-02-28	domestic
hCoV-19_USA_TX-CDC-QDX23654401|2021-04-05	domestic
hCoV-19_USA_TX-CDC-22290899|2021-02-22	domestic
hCoV-19_USA_TX-TCH-TCMC03088|2021-03-16	domestic
hCoV-19_USA_TX-CDC-ASC210008393|2021-03-25	domestic
hCoV-19_USA_TX-DSHS-4253|2021-03-03	domestic
